标题,摘要,发布时间,链接
A股三大指数收跌 消费板块领跌 采掘行业逆市大涨,沪指跌0.25%，深证成指跌0.33%，创业板指跌0.73%。成交额超2.1万亿，采掘、能源金属、电池、珠宝首饰、化学原料涨幅居前，商业百货、酿酒、旅游酒店、航天航空跌幅居前。,2026-02-06 15:00:54,https://finance.eastmoney.com/a/202602063644045394.html
国内商品期货收盘 主力合约大面积飘绿,国内商品期货收盘，主力合约大面积飘绿。跌幅方面，沪银跌近15%，铂跌近8%，钯跌超6%，沪锡跌近6%，烧碱跌超4%，焦煤跌超3%，欧线集运跌近3%，原木、碳酸锂、焦炭、沪镍、工业硅等跌超2%，多晶硅、玻璃、纯碱、纯苯跌近2%，苯乙烯、沪铝、红枣、铁矿石、铸造铝等跌超1%；涨幅方面，LPG、氧化铝、燃油涨超1%，沥青、淀粉、低硫燃油、原油、玉米等小幅上涨。,2026-02-06 15:00:38,https://finance.eastmoney.com/a/202602063644045451.html
中国移动旗下基金等入股舞肌科技,【中国移动旗下基金等入股舞肌科技】天眼查App显示，近日，上海舞肌科技有限公司发生工商变更，新增中国移动旗下上海中移数字转型产业私募基金合伙企业（有限合伙）、AlphaistPartnersLimited等为股东，同时，注册资本由约180.3万人民币增至约204.2万人民币。公开资料显示，该公司专注于机器人电机技术研发及电子科技领域的技术服务。,2026-02-06 14:57:10,https://finance.eastmoney.com/a/202602063644044938.html
深市规模最大的光伏ETF标的指数涨超2%，机构：白银价格高位回落有助于缓解电池片环节的成本压力,【深市规模最大的光伏ETF标的指数涨超2%，机构：白银价格高位回落有助于缓解电池片环节的成本压力】盘面上，两市低开高走，光伏板块上涨。相关ETF方面，光伏ETF（159857）标的指数盘中涨超2%，成交额达2.68亿元。成分股中，协鑫集成涨停，拉普拉斯、奥特维、晶科能源、罗博特科涨超5%，南网能源、中信博、迈为股份等多股跟涨。,2026-02-06 14:52:57,https://finance.eastmoney.com/a/202602063644045182.html
放着便宜俄油不买？印度信实据悉已进口200万桶委内瑞拉石油,【放着便宜俄油不买？印度信实据悉已进口200万桶委内瑞拉石油】美国与印度即将达成新的贸易协议，这也意味着全球能源行业将迎来重大改变。印度将按照美国提出的要求减少对俄罗斯原油的进口，并转向委内瑞拉石油。,2026-02-06 14:52:35,https://finance.eastmoney.com/a/202602063644042489.html
马斯克或成黄金的“黑天鹅”？华尔街顶级分析师语出惊人,【马斯克或成黄金的“黑天鹅”？华尔街顶级分析师语出惊人】美国投资机构Fundstrat Global Advisors的联合创始人兼研究主管Tom Lee描绘了一个“黄金黑天鹅”场景，其中全球金融体系的“颠覆者”不是美联储，而是埃隆·马斯克；根据Fundstrat的研究，黄金价格可能已经“见顶”。,2026-02-06 14:50:54,https://finance.eastmoney.com/a/202602063644041495.html
国联股份等在北京成立数智科技新公司,【国联股份等在北京成立数智科技新公司】企查查APP显示，近日，北京循创多多数智科技有限公司成立，经营范围包含：文艺创作；其他文化艺术经纪代理；数字文化创意内容应用服务等。企查查股权穿透显示，该公司由国联股份等共同持股。,2026-02-06 14:48:02,https://finance.eastmoney.com/a/202602063644041123.html
沪深两市成交额连续第29个交易日突破2万亿 较上一日此时缩量超300亿,沪深两市成交额连续第29个交易日突破2万亿，较上一日此时缩量超300亿。,2026-02-06 14:48:02,https://finance.eastmoney.com/a/202602063644041080.html
专家称普通投资者不适合配置白银 建议普通投资者避开白银优先配置黄金,【专家称普通投资者不适合配置白银 建议普通投资者避开白银优先配置黄金】2月5日晚间，黄金、白银暴跌。在高波动市场中如何配置贵金属？中辉期货资管部投资经理王维芒对记者表示，白银的风险已超过黄金，因为白银缺乏央行的托底支持，其价格的暴涨已严重侵蚀了基本面，已单纯成为资金博弈的场所。“建议回避白银配置，尤其对大资金和长线资金而言，白银并不适合；普通投资者更不宜参与。”,2026-02-06 14:47:14,https://finance.eastmoney.com/a/202602063644040584.html
欧洲央行管委斯图纳拉斯：通胀稳定在目标预期,【欧洲央行管委斯图纳拉斯：通胀稳定在目标预期】据报道，欧洲央行管委斯图纳拉斯表示，通胀稳定在目标预期。,2026-02-06 14:46:32,https://finance.eastmoney.com/a/202602063644040130.html
特斯拉陶琳：会积极参与中国市场辅助自动驾驶相关工作,【特斯拉陶琳：会积极参与中国市场辅助自动驾驶相关工作】特斯拉副总裁陶琳今日表示，特斯拉会非常积极的参与中国市场辅助自动驾驶等相关系列工作，但目前尚无法提供明确的落地时间。马斯克此前表示，特斯拉FSD将于今年二月在欧洲部署，中国市场会随后跟进。,2026-02-06 14:44:43,https://finance.eastmoney.com/a/202602063644039169.html
休闲零食迎春节旺季 头部企业全力开工保供应,【休闲零食迎春节旺季 头部企业全力开工保供应】财联社记者采访获悉，春节临近，休闲零食迎来销售旺季，各渠道备货积极，坚果礼盒热卖，商超渠道量贩装零食率先起量。万辰集团相关负责人对财联社记者表示，旗下“好想来”从1月上旬开始启动年货节，带动门店销量与客流双增；劲仔食品相关负责人对财联社记者介绍，公司三大生产基地全力生产，核心产品日产能突破千万包，保障供应不断货。,2026-02-06 14:43:55,https://finance.eastmoney.com/a/202602063644039090.html
股价一度大跌近9%！三安光电回应惠特科技仲裁案！,【股价一度大跌近9%！三安光电回应惠特科技仲裁案！】记者2月6日获悉，化合物半导体龙头三安光电与中国台湾半导体设备厂商惠特科技（FitTech）陷入一场合同纠纷，日前中国国际经济贸易仲裁委员会已作出裁决。因或需支付超过3亿元人民币剩余价款，三安光电今日盘中一度跌近9%，此后股价出现探底回升。,2026-02-06 14:37:35,https://finance.eastmoney.com/a/202602063644035564.html
逾7亿美元拿下叮咚买菜 能给美团带来什么？,【逾7亿美元拿下叮咚买菜 能给美团带来什么？】经济学家、工信部信息通信经济专家委员会委员盘和林告诉记者，美团和叮咚买菜可以合并配送，从而减少竞争，与此同时，美团也能够拥有自己的自营生鲜，有利于美团打造自营业务生态。双方合并后，美团丰富了业务生态，尤其是增加了生鲜的线下配送点。对于叮咚，当前互联网行业中，规模非常重要，美团可以提高叮咚配送规模和网点规模。,2026-02-06 14:37:04,https://finance.eastmoney.com/a/202602063644035988.html
伊朗外长和阿曼外长举行双边会晤,【伊朗外长和阿曼外长举行双边会晤】当地时间6日，伊朗外长阿拉格齐和阿曼外交大臣巴德尔在马斯喀特举行双边会晤。据此前消息，美国和伊朗6日将在马斯喀特开始谈判，本轮谈判据称会以“非直接”会面的方式进行，目前谈判的具体地点尚未公布。,2026-02-06 14:34:38,https://finance.eastmoney.com/a/202602063644034063.html
机器人离真正“进厂干活”还有距离 市人大代表为上海具身智能产业发展建言,【机器人离真正“进厂干活”还有距离 市人大代表为上海具身智能产业发展建言】“虽然具身智能已迎来爆发式增长，但距离大规模工业化应用还存在不小差距。”2月5日，在上海市十六届人大四次会议嘉定代表团小组审议中，市人大代表、上海新时达电气股份有限公司副董事长纪翌的发言，引起不少代表共鸣。,2026-02-06 14:34:12,https://finance.eastmoney.com/a/202602063644035340.html
日韩股市收盘涨跌不一,【日韩股市收盘涨跌不一】日经225指数收涨0.81%，报54253.68点；韩国KOSPI指数收跌1.44%，报5089.14点。,2026-02-06 14:32:28,https://finance.eastmoney.com/a/202602063644033615.html
米开朗琪罗一幅素描拍出2720万美元,【米开朗琪罗一幅素描拍出2720万美元】佳士得拍卖行2月5日在美国纽约以2720万美元拍出意大利文艺复兴时期艺术大师米开朗琪罗的一幅素描草图，创下其个人作品拍卖最高价格纪录。,2026-02-06 14:31:50,https://finance.eastmoney.com/a/202602063644033346.html
上海市人大代表诸正伟：线下门店为什么生意差？买个包子2块钱、停车10块钱,【上海市人大代表诸正伟：线下门店为什么生意差？买个包子2块钱、停车10块钱】“买个包子2块钱，停个车要10块钱，这生意怎么做？”在近日举行的上海两会期间，市人大代表诸正伟一句来自调研的感慨，引发了与会者对城市停车管理与实体商业生存困境的关注。,2026-02-06 14:27:29,https://finance.eastmoney.com/a/202602063644031937.html
继屏蔽千问后 微信再封元宝分享口令,【继屏蔽千问后 微信再封元宝分享口令】多名用户向记者反馈，继屏蔽千问分享口令后，腾讯自家AI产品元宝的春节活动分享口令，在微信平台中同样已不可复制。,2026-02-06 14:25:21,https://finance.eastmoney.com/a/202602063644031080.html
文远知行与Uber升级战略合作,【文远知行与Uber升级战略合作】据文远知行消息，2月6日，文远知行与Uber宣布升级战略合作：双方计划于2027年内在中东地区部署至少1200辆Robotaxi，覆盖阿布扎比、迪拜和利雅得三大市场。根据计划，这1200辆Robotaxi将全部接入Uber App面向公众提供出行服务。,2026-02-06 14:24:28,https://finance.eastmoney.com/a/202602063644029960.html
智元发布《机器人奇妙夜》节目单 机器人首秀武术、魔术等,【智元发布《机器人奇妙夜》节目单 机器人首秀武术、魔术等】2月6日，智元AGIBOT正式公布全球首个大型机器人晚会——《机器人奇妙夜》（AGIBOT NIGHT 2026）的完整节目单。,2026-02-06 14:23:34,https://finance.eastmoney.com/a/202602063644028652.html
德赛西威整车区域控制器ZCU获多个主机厂定点,【德赛西威整车区域控制器ZCU获多个主机厂定点】近日，德赛西威整车区域控制器（简称“ZCU”）获得多个主机厂定点，该产品以“区域集成”创新理念，高度集成了车身舒适控制（灯光、雨刮、门窗）、以太网网关、无钥匙进入及启动系统（PEPS）、电子驻车（EPB）、空气悬架控制及智能配电等关键功能，助力客户实现汽车电子电气架构升级。,2026-02-06 14:23:05,https://finance.eastmoney.com/a/202602063644028433.html
部分茅台经销商3月首批飞天配额售罄 第二批已申报,【部分茅台经销商3月首批飞天配额售罄 第二批已申报】财联社记者从渠道人士处获悉，部分茅台经销商自愿申报的3月首批飞天茅台配额已售罄，该批次货源以1×4规格（一箱四瓶装）为主，目前第二批追加配额已申报。此前受春节旺季消费需求提振，茅台多个区域货源偏紧，部分茅台经销商开售3月飞天茅台配额。,2026-02-06 14:20:23,https://finance.eastmoney.com/a/202602063644025030.html
分析师警告：经济分化下 美国家庭生活压力陡增,【分析师警告：经济分化下 美国家庭生活压力陡增】据法新社报道，分析师警告称，美国经济已陷入“K型分化”，中低收入家庭的生活愈发捉襟见肘，民众对生活成本的焦虑持续攀升。报道称，美国经济虽然实现了稳健增长，特朗普政府也一再标榜华尔街屡创纪录、减税政策成效显著，但分析师警告称，美国经济已陷入“K型分化”——富裕家庭坐拥资产增值的红利，中低收入家庭的生活却愈发捉襟见肘。,2026-02-06 14:17:58,https://finance.eastmoney.com/a/202602063644023433.html
参与小鹏汇天飞行器产线建设 瑞松科技一度涨超10%,【参与小鹏汇天飞行器产线建设 瑞松科技一度涨超10%】2月6日，瑞松科技震荡走强，一度涨超10%，截至13时30分，该股涨8.73%，报56.32元/股。消息面上，2月5日，瑞松科技在上证e互动平台表示，公司参与了小鹏汇天飞行器产线建设。,2026-02-06 14:15:25,https://finance.eastmoney.com/a/202602063644021665.html
探迹科技入主再获进展：真爱美家控制权变更获深交所合规确认,【探迹科技入主再获进展：真爱美家控制权变更获深交所合规确认】2月6日，真爱美家（003041.SZ）公告披露，公司近日已收到《深圳证券交易所上市公司股份协议转让确认书》（深证协〔2026〕21号），深圳证券交易所已完成对本次协议转让股权相关材料的合规确认。,2026-02-06 14:10:29,https://finance.eastmoney.com/a/202602063644018010.html
伊美谈判略有推迟,【伊美谈判略有推迟】据卡塔尔半岛电视台6日报道，伊朗和美国的谈判略有推迟，不会按原计划于当天10时（北京时间14时）开始。,2026-02-06 14:10:25,https://finance.eastmoney.com/a/202602063644018195.html
蓝箭航天成功进行多星堆叠及卫星组合体试验,【蓝箭航天成功进行多星堆叠及卫星组合体试验】近日，蓝箭航天成功完成了多星堆叠压紧释放机构和卫星组合体振动及解锁冲击试验，以及星间锁机构在经历组合体振动、堆叠柱解锁冲击后的星间解锁试验，标志着公司自研多星堆叠压紧释放机构已经具备服务卫星互联网星座大规模组网的能力。,2026-02-06 14:09:14,https://finance.eastmoney.com/a/202602063644017137.html
大牛股百利天恒预亏11亿元 中信证券给出上千元目标价？,【大牛股百利天恒预亏11亿元 中信证券给出上千元目标价？】日前，中信证券(600030)发布关于百利天恒(688506)的评级研报，给予百利天恒“买入”评级，并喊出不超过1322元的高额目标价，预测百利天恒2025年净利润为-7.60亿元。截至研报发布当日，百利天恒A股股价报收于282.30元/股，上市两年上涨超10倍。根据中信证券预测价格，该股未来涨幅超过468%。若股价达到1322元，公司总市值将突破5460亿元，届时将超越恒瑞医药及百济神州，成为A股医药行业市值第一的企业。,2026-02-06 14:07:28,https://finance.eastmoney.com/a/202602063644016856.html
全国首款航天造电动垂直起降飞行器首飞成功,【全国首款航天造电动垂直起降飞行器首飞成功】今天，由中国航天科技集团九院研制的全国首款航天造电动垂直起降低空飞行器，在重庆永川大安机场首飞成功，圆满完成各项性能验证。,2026-02-06 14:06:33,https://finance.eastmoney.com/a/202602063644015894.html
市场监管总局公布五起人工智能领域不正当竞争典型案例,【市场监管总局公布五起人工智能领域不正当竞争典型案例】记者今天了解到，为有效引导经营主体依法合规经营，维护人工智能产业健康发展，市场监管总局今天公布五起人工智能领域不正当竞争典型案例。,2026-02-06 14:02:25,https://finance.eastmoney.com/a/202602063644011692.html
已进入面板及半导体领域主流厂商供应链 欧莱新材一度涨停,【已进入面板及半导体领域主流厂商供应链 欧莱新材一度涨停】2月6日，欧莱新材盘中一度涨停，截至13:26，报30.38元/股，涨幅18.67%。公司2月3日发布的投资者关系活动记录表显示，在面板领域，公司已成功切入京东方、华星光电、惠科、超视界、彩虹光电、深超光电等国内主流面板厂商供应链，核心产品铜靶、铝靶、钼及钼合金靶、ITO靶等已实现G5至G11全世代线半导体显示用溅射靶材量产供货。,2026-02-06 14:02:20,https://finance.eastmoney.com/a/202602063644011961.html
现货白银日内涨超5%,现货白银日内涨超5%，现报74.50美元/盎司。,2026-02-06 14:00:43,https://finance.eastmoney.com/a/202602063644009648.html
雷军：春节期间小米汽车24小时免费道路救援,【雷军：春节期间小米汽车24小时免费道路救援】雷军在微博称，2月9日-3月3日春节期间出行，小米汽车24小时免费道路救援，同时提供500元打车券与异地送车服务。7×24小时上门补胎、线上服务，随时响应需求。如因车辆自身偶发故障导致途中抛锚，最高可报销1500元高铁/机票费用和500元住宿费用。,2026-02-06 13:59:42,https://finance.eastmoney.com/a/202602063644008713.html
千问登顶App Store免费榜,【千问登顶App Store免费榜】2月6日消息，今日千问开启免单奶茶活动后，已于中午登顶苹果App Store免费应用榜。第二名为元宝，第三名为豆包。,2026-02-06 13:56:57,https://finance.eastmoney.com/a/202602063644006882.html
太空光伏概念持续回升 宇晶股份4天2板,太空光伏概念持续回升，宇晶股份反包涨停，走出4天2板，泽润新能涨超10%，续创历史新高，拉普拉斯、协鑫集成、奥特维、连城数控、鹿山新材跟涨。,2026-02-06 13:52:27,https://finance.eastmoney.com/a/202602063644002481.html
教培、物业等先收钱后服务的行业纳税时间将大幅提前,【教培、物业等先收钱后服务的行业纳税时间将大幅提前】日常生活中，物业管理、教育培训、美容美发、健身等不少行业，通过优惠折扣等，让消费者先预付一笔钱，然后分期或分次来提供相应服务情形。而今年起，在这些先收钱后服务的行业，企业缴纳增值税的时间将大幅提前。近期，财政部、税务总局公布《关于增值税进项税额抵扣等有关事项的公告》，其中进一步明确了增值税纳税义务的发生时间。,2026-02-06 13:49:24,https://finance.eastmoney.com/a/202602063644001552.html
比特币狂泻 Strategy录入百亿亏损！创始人改口称“卖币也是选项”,【比特币狂泻 Strategy录入百亿亏损！创始人改口称“卖币也是选项”】周五（2月6日），比特币一度向下触及60000美元，日内跌超11%。与去年10月初创出历史新高的12.6万美元相比，比特币已下跌超52%。此次大幅度回调对主要的加密货币股票造成了沉重打击，其中迈克尔·塞勒（Michael Saylor）领导的比特币储备公司Strategy（MicroStrategy）所受冲击尤为严重。,2026-02-06 13:47:14,https://finance.eastmoney.com/a/202602063643995869.html
“金银过山车”引爆大佬警告：所有大宗商品都只是投机罢了！,【“金银过山车”引爆大佬警告：所有大宗商品都只是投机罢了！】今年以来，黄金和白银的突然暴涨和突然暴跌都令投资者猝不及防、震惊不已。有华尔街大佬对此评论称，归根结底，大宗商品只是投机罢了！,2026-02-06 13:46:54,https://finance.eastmoney.com/a/202602063643996218.html
“车路云一体化”进入标准拟定密集期：基础设施技术标准启动编制、“国标+团标”将双线并行,【“车路云一体化”进入标准拟定密集期：基础设施技术标准启动编制、“国标+团标”将双线并行】记者获悉，国内首个智能网联基础设施国标《城市道路智能网联基础设施技术标准》日前启动编制。作为牵头组织单位，车百会研究院表示，该“国标”填补了我国在该领域国家标准的空白，将为城市道路智能网联基础设施的规划、设计、建设、验收与运维全流程提供统一的技术规范和权威依据。,2026-02-06 13:44:40,https://finance.eastmoney.com/a/202602063643995267.html
CPO概念持续走高 智立方20cm涨停,CPO概念持续走高，智立方20cm涨停，创历史新高，燕麦科技涨超10%，易天股份、环旭电子、致尚科技、罗博特科，长光华芯等跟涨。,2026-02-06 13:44:08,https://finance.eastmoney.com/a/202602063643996998.html
加码锂电扩产 国轩高科负债率超71%抛50亿定增 高应收、高存货压顶,【加码锂电扩产 国轩高科负债率超71%抛50亿定增 高应收、高存货压顶】2月5日晚间，国轩高科(002074)宣布计划定增募资50亿元，进一步扩大新能源电池产能。公告显示，国轩高科本次定增的募投项目包括：年产20GWh动力电池项目、国轩高科20GWh新能源电池基地项目、新型锂离子电池（20GWh）智造基地项目以及补充流动资金，相关项目总投资额超140亿元，募集资金不足部分由公司自筹解决。,2026-02-06 13:42:06,https://finance.eastmoney.com/a/202602063643995017.html
全球首台！海上巨无霸并网发电 关键部件100%国产化,【全球首台！海上巨无霸并网发电 关键部件100%国产化】2月5日，金风科技与三峡集团联合研制的全球首台20兆瓦海上风电机组在福建海域并网发电，标志着我国在超大容量机组研发制造和海上施工领域实现重要突破。,2026-02-06 13:40:17,https://finance.eastmoney.com/a/202602063643994157.html
中国神华千亿级重组进入新阶段,【中国神华千亿级重组进入新阶段】中国神华(601088，SH)千亿级资产重组项目有了新进展。2月6日，根据上海证券交易所官网信息，中国神华能源股份有限公司发行股份及支付现金购买资产并募集配套资金的重组申请，经简易审核程序审议后已提交注册。,2026-02-06 13:37:46,https://finance.eastmoney.com/a/202602063643992610.html
加密市场24小时58万人爆仓！“大空头”：比特币恐重演2022年崩盘模式,【加密市场24小时58万人爆仓！“大空头”：比特币恐重演2022年崩盘模式】在比特币引领加密货币市场跌跌不休之际，知名做空投资者、素有“大空头”之称的迈克尔·伯里（MichaelBurry）日前发出严厉警告，称比特币可能会重演2021-2022年的崩盘模式。这意味着比特币价格可能会进一步跌至5万美元甚至更低。,2026-02-06 13:37:00,https://finance.eastmoney.com/a/202602063643995510.html
中国公民如何在海南申领居住证？权威解答来了,【中国公民如何在海南申领居住证？权威解答来了】海南省公安厅反走私和海岸管理总队政委林雄表示，外省居民离开户口所在地，在海南居住半年以上并进行流动人口登记，符合合法稳定就业、合法稳定住所、合法就读条件之一的，可以在海南省行政区域内居住地申领居住证。,2026-02-06 13:35:56,https://finance.eastmoney.com/a/202602063643992287.html
海南岛内居民可随用随买“零关税”日用消费品,【海南岛内居民可随用随买“零关税”日用消费品】今天（6日），海南省新闻办公室举行新闻发布会，介绍海南自由贸易港岛内居民消费的进境商品“零关税”政策情况。 发布会上介绍，海南全省首批在海口、三亚、儋州三个地级市共开设5家日用消费品免税店，各店定于2月11日开业。,2026-02-06 13:34:36,https://finance.eastmoney.com/a/202602063643991331.html
南向资金连续6日累计买入超488亿港元，恒生科技ETF广发获资金逆势加仓，单日流入2.74亿元，跟踪指数处估值低位,【南向资金连续6日累计买入超488亿港元，恒生科技ETF广发获资金逆势加仓，单日流入2.74亿元，跟踪指数处估值低位】近期，资金逢低布局港股。Wind数据显示，2026年2月5日，南向资金全天大举净流入约249.77亿港元，创去年8月16日以来近半年新高。其中，恒生科技指数单日净流入超30亿元，位居股票ETF市场流入板块首位。拉长时间看，截至2月5日，南向资金已连续6个交易日保持流入，累计买入488.05亿港元。,2026-02-06 13:30:01,https://finance.eastmoney.com/a/202602063644016678.html
现货白银日内涨超4% 早盘曾一度跌近10%,现货白银日内涨超4%，现报73.86美元/盎司，早盘曾一度跌近10%。,2026-02-06 13:28:57,https://finance.eastmoney.com/a/202602063643987297.html
游戏板块震荡反弹 完美世界涨停,游戏板块震荡反弹，完美世界涨停，巨人网络、ST中青宝、华立科技、三七互娱等跟涨。,2026-02-06 13:27:10,https://finance.eastmoney.com/a/202602063643985816.html
沪深两市成交额突破1.5万亿 较上一日此时缩量超400亿,沪深两市成交额突破1.5万亿，较上一日此时缩量超400亿。,2026-02-06 13:22:16,https://finance.eastmoney.com/a/202602063643981155.html
宁德时代拟参股华为数字能源？知情人士：此前双方曾谈过 宁德时代拟参股约20%,【宁德时代拟参股华为数字能源？知情人士：此前双方曾谈过 宁德时代拟参股约20%】近日，市场流传宁德时代收购华为数字能源。对此，有知情人士告诉记者，“此前双方确实谈过，但因整体收购成本过高，华为数字能源并非全部出售给宁德时代，而是宁德时代拟参股华为数字能源约20%股份。”不过，2月6日，多位华为数字能源员工表示，“2月5日晚公司内部已逐级通知不再出售。”,2026-02-06 13:21:38,https://finance.eastmoney.com/a/202602063643980727.html
千问口令无法在微信复制分享,【千问口令无法在微信复制分享】多名用户向记者反馈，目前千问的春节活动口令无法在微信进行复制传播，选中千问的活动口令后，微信页面没有复制键。,2026-02-06 13:19:48,https://finance.eastmoney.com/a/202602063643978125.html
小鹏GX开启L4级自动驾驶开放测试,【小鹏GX开启L4级自动驾驶开放测试】记者获悉，即将发布的小鹏首款大六座SUV小鹏GX，将搭载4颗图灵芯片，本地有效算力3000TOPS，具备L4级自动驾驶能力，目前正在进行技术验证。今日一辆车身贴有 “L4自动驾驶测试”及“注意避让” 标识的小鹏伪装车，在广州开放路段进行测试。,2026-02-06 13:16:34,https://finance.eastmoney.com/a/202602063643975128.html
亚马逊：已发射180颗卫星 计划在今明两年共进行超50次发射,【亚马逊：已发射180颗卫星 计划在今明两年共进行超50次发射】当地时间2月5日，亚马逊总裁兼首席执行官安迪·贾西在2025财年第四财季财报电话会上透露，Amazon Leo（即低地球轨道卫星项目）方面取得了快速进展，将为无法获得宽带连接的地方的消费者、企业和政府带来连接。,2026-02-06 13:14:55,https://finance.eastmoney.com/a/202602063643974151.html
太阳爆发最高等级耀斑 引发轻度地磁暴,【太阳爆发最高等级耀斑 引发轻度地磁暴】美国国家海洋和大气管理局5日发布警报说，受太阳爆发强烈耀斑影响，地球已出现并可能继续出现轻度地磁暴。,2026-02-06 13:13:43,https://finance.eastmoney.com/a/202602063643972727.html
油气股午后持续走强 通源石油涨超11%,油气股午后持续走强，通源石油涨超11%，科力股份涨超9%，洲际油气涨超8%，潜能恒信、准油股份、新锦动力、中曼石油等跟涨。,2026-02-06 13:11:42,https://finance.eastmoney.com/a/202602063643971588.html
日本前高级外汇官员：外汇干预配合加息效果将更为持久,【日本前高级外汇官员：外汇干预配合加息效果将更为持久】日本前高级外汇官员中尾武彦表示，动用外汇储备进行汇率干预，虽然可以对市场产生立竿见影的冲击，但如果配合持续加息，其效果将更为持久。中尾武彦曾在2011-2013年期间担任负责国际事务的副财相。,2026-02-06 13:08:59,https://finance.eastmoney.com/a/202602063643969389.html
阿里概念股午后拉升 数据港涨停,阿里概念股午后拉升，数据港涨停，润建股份、顺钠股份、杭钢股份、壹网壹创等跟涨。,2026-02-06 13:03:55,https://finance.eastmoney.com/a/202602063643964968.html
海南首批岛内居民日用消费品免税店拟定于2月11日开业,【海南首批岛内居民日用消费品免税店拟定于2月11日开业】海南省新闻办公室6日举行新闻发布会，介绍海南自由贸易港岛内居民消费进境商品“零关税”政策有关情况。记者从会上获悉，海南首批岛内居民日用消费品免税店拟定于2026年2月11日开业。,2026-02-06 13:01:52,https://finance.eastmoney.com/a/202602063643962346.html
金店一个月扫出1700克金粉！同行揭秘,【金店一个月扫出1700克金粉！同行揭秘】金价维持在高位，现在很多人都在排队“打金”。相比于直接买金首饰，打金的体验感更强，不仅可以定制款式，价格也相较品牌金饰更便宜，赢得了不少消费者的青睐。近日，“打金店1个月扫出1700克金粉”的话题引发网友广泛关注与讨论。不少朋友疑惑，这些金粉是从哪里来的，打金店为什么能攒下这么多？黄金加工过程中的损耗，需要消费者承担吗？,2026-02-06 12:58:34,https://finance.eastmoney.com/a/202602063643954513.html
光纤光缆大爆发！一则利好突然来袭！,【光纤光缆大爆发！一则利好突然来袭！】2月6日早盘，最先爆发的是光纤光缆行业，市值近700亿元的长飞光纤开盘13分钟后涨停，续创历史新高。随后，通鼎互联、亨通光电、长盈通等集体大涨。根据券商研报，2026年1月，中国市场G.652.D单模光纤价格创下近七年来的新高，平均价格来到35元/芯公里以上。还有部分报价突破40元/芯公里，年内涨幅超80%，创行业罕见涨幅。,2026-02-06 12:56:42,https://finance.eastmoney.com/a/202602063643953963.html
4001只私募产品1月净值创新高,【4001只私募产品1月净值创新高】1441家私募旗下共计4001只私募产品的净值在今年1月创下历史新高。经统计，至少有3只产品有近3年业绩展示（成立满3年）且符合排名规则的私募有139家，其中百亿私募仅14家，股票策略私募占8家，收益均值排名前五的私募依次为天演资本、复胜资产、诚奇私募、幻方量化、明汯投资。,2026-02-06 12:54:12,https://finance.eastmoney.com/a/202602063643953439.html
中际旭创盘中跌超5%！公募头号重仓股遭遇“登顶之困”？,【中际旭创盘中跌超5%！公募头号重仓股遭遇“登顶之困”？】作为公募第一大重仓股，市场看待中际旭创，用的是“显微镜”和“望远镜”，即对公司关注颗粒度更高，对预期变化的关注度更高；另外，山巅之上，情绪之风更为明显，筹码受情绪性因素影响的情况更加突出。,2026-02-06 12:51:00,https://finance.eastmoney.com/a/202602063643953387.html
