行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
850111.SI,种子,种植业,8,102.88,141.75,3.21,0.46
850113.SI,其他种植业,种植业,6,66.42,51.93,2.74,0.78
850122.SI,水产养殖,渔业,4,89.82,95.3,1.14,0.33
850142.SI,畜禽饲料,饲料,10,24.89,15.79,1.78,1.39
850151.SI,果蔬加工,农产品加工,5,57.02,45.26,3.77,1.0
850152.SI,粮油加工,农产品加工,7,57.47,39.32,1.73,0.54
850154.SI,其他农产品加工,农产品加工,10,32.95,32.42,2.22,1.91
850172.SI,生猪养殖,养殖业,12,14.41,13.47,2.87,2.76
850173.SI,肉鸡养殖,养殖业,8,19.77,20.84,1.96,3.25
850181.SI,动物保健Ⅲ,动物保健Ⅱ,10,49.13,35.47,2.08,1.24
850322.SI,氯碱,化学原料,14,25.65,23.2,1.52,1.95
850323.SI,无机盐,化学原料,10,36.09,51.28,2.71,1.03
850324.SI,其他化学原料,化学原料,14,16.85,16.72,2.64,1.66
850325.SI,煤化工,化学原料,8,24.48,18.08,2.14,2.71
850326.SI,钛白粉,化学原料,6,24.16,40.65,1.88,2.02
850335.SI,涂料油墨,化学制品,16,53.76,63.33,3.7,0.81
850337.SI,民爆制品,化学制品,13,33.81,33.12,2.77,0.96
850338.SI,纺织化学制品,化学制品,13,32.97,33.05,1.59,1.81
850339.SI,其他化学制品,化学制品,73,36.48,36.47,2.74,1.18
850382.SI,氟化工,化学制品,10,50.55,28.06,3.94,0.77
850372.SI,聚氨酯,化学制品,8,22.27,26.01,2.55,0.83
850135.SI,食品及饲料添加剂,化学制品,22,19.05,15.61,2.12,2.67
850136.SI,有机硅,化学制品,10,34.92,36.54,2.79,1.2
850341.SI,涤纶,化学纤维,10,31.75,27.19,2.05,1.47
850343.SI,粘胶,化学纤维,4,48.95,75.82,2.03,0.0
850351.SI,其他塑料制品,塑料,20,48.0,47.92,2.68,0.82
850353.SI,改性塑料,塑料,18,53.66,41.73,2.88,0.65
850354.SI,合成树脂,塑料,14,62.42,53.81,5.53,0.7
850355.SI,膜材料,塑料,20,87.34,79.54,4.59,0.52
850362.SI,其他橡胶制品,橡胶,9,43.56,48.4,2.6,0.65
850363.SI,炭黑,橡胶,6,21.64,21.71,2.15,1.8
850331.SI,氮肥,农化制品,6,19.8,23.85,2.27,1.6
850332.SI,磷肥及磷化工,农化制品,9,18.32,16.74,2.38,3.31
850333.SI,农药,农化制品,30,35.49,27.75,2.55,1.71
850381.SI,复合肥,农化制品,10,20.42,17.14,1.89,2.0
850523.SI,非金属材料Ⅲ,非金属材料Ⅱ,7,63.97,56.81,3.69,0.63
850442.SI,板材,普钢,17,32.1,22.11,0.9,1.72
850521.SI,其他金属新材料,金属新材料,16,50.28,58.3,4.65,0.72
850522.SI,磁性材料,金属新材料,14,95.4,67.6,4.47,0.73
850551.SI,铝,工业金属,31,20.06,18.42,2.47,2.18
850552.SI,铜,工业金属,16,33.43,24.99,4.53,1.36
850553.SI,铅锌,工业金属,13,43.78,36.39,4.0,0.75
850531.SI,黄金,贵金属,10,53.46,37.0,5.75,0.82
850544.SI,其他小金属,小金属,14,52.63,53.97,3.99,0.67
850812.SI,分立器件,半导体,18,70.38,58.22,4.32,0.39
850813.SI,半导体材料,半导体,24,101.87,94.19,6.28,0.39
850814.SI,数字芯片设计,半导体,51,122.7,99.26,9.46,0.23
850815.SI,模拟芯片设计,半导体,35,92.15,80.13,5.95,0.47
850817.SI,集成电路封测,半导体,12,76.9,66.2,3.54,0.3
850818.SI,半导体设备,半导体,24,95.1,79.11,9.55,0.16
850822.SI,印制电路板,元件,42,78.58,54.27,6.9,0.75
850823.SI,被动元件,元件,15,44.22,39.29,3.8,0.89
850831.SI,面板,光学光电子,37,34.12,28.1,1.63,1.07
850832.SI,LED,光学光电子,30,112.46,121.69,2.72,0.61
850833.SI,光学元件,光学光电子,25,87.49,76.52,7.45,0.5
850841.SI,其他电子Ⅲ,其他电子Ⅱ,33,85.07,72.54,5.9,0.52
850853.SI,品牌消费电子,消费电子,10,26.75,31.13,4.82,2.37
850854.SI,消费电子零部件及组装,消费电子,80,45.14,37.14,4.99,0.86
850861.SI,电子化学品Ⅲ,电子化学品Ⅱ,34,82.74,73.3,4.85,0.45
850922.SI,车身附件及饰件,汽车零部件,36,22.64,21.54,2.71,2.55
850923.SI,底盘与发动机系统,汽车零部件,90,35.51,33.56,3.29,1.32
850924.SI,轮胎轮毂,汽车零部件,21,17.09,18.67,1.95,1.95
850925.SI,其他汽车零部件,汽车零部件,54,42.48,38.31,3.35,0.95
850926.SI,汽车电子电气系统,汽车零部件,36,46.75,43.02,3.93,0.92
850232.SI,汽车经销商,汽车服务,5,45.43,50.44,1.49,1.27
850233.SI,汽车综合服务,汽车服务,5,26.3,22.14,2.64,1.98
858811.SI,其他运输设备,摩托车及其他,7,16.14,14.0,2.63,3.08
858812.SI,摩托车,摩托车及其他,8,40.85,30.92,4.16,2.06
850952.SI,综合乘用车,乘用车,5,21.19,23.47,1.0,1.57
850912.SI,商用载货车,商用车,8,28.02,23.89,1.47,2.13
850913.SI,商用载客车,商用车,5,20.66,16.6,4.54,3.9
851112.SI,空调,白色家电,3,11.65,10.82,2.31,5.68
851116.SI,冰洗,白色家电,7,13.33,11.86,2.12,4.43
851122.SI,其他黑色家电,黑色家电,6,69.62,54.94,3.53,0.87
851131.SI,厨房小家电,小家电,9,18.62,18.22,3.2,4.05
851141.SI,厨房电器,厨卫电器,6,15.69,17.42,1.89,3.81
851151.SI,照明设备Ⅲ,照明设备Ⅱ,12,22.8,28.13,2.21,3.2
851161.SI,家电零部件Ⅲ,家电零部件Ⅱ,30,49.87,43.89,4.47,0.77
851241.SI,肉制品,食品加工,7,21.47,21.74,3.35,4.59
851246.SI,预加工食品,食品加工,10,23.66,25.28,2.17,3.02
851247.SI,保健品,食品加工,8,35.12,32.1,2.7,2.24
851251.SI,白酒Ⅲ,白酒Ⅱ,20,18.61,19.63,5.31,4.1
851232.SI,啤酒,非白酒,7,23.77,20.56,2.88,3.04
851233.SI,其他酒类,非白酒,9,47.62,48.91,2.48,1.4
851271.SI,软饮料,饮料乳品,8,34.85,31.5,5.82,2.7
851243.SI,乳品,饮料乳品,18,24.67,25.3,2.88,4.67
851281.SI,零食,休闲食品,11,33.52,32.49,5.32,2.12
851282.SI,烘焙食品,休闲食品,9,24.13,28.56,2.48,2.34
851242.SI,调味发酵品Ⅲ,调味发酵品Ⅱ,14,31.87,30.57,4.31,2.7
851312.SI,棉纺,纺织制造,8,21.91,17.86,1.25,2.8
851314.SI,印染,纺织制造,4,12.61,13.79,1.3,3.11
851315.SI,辅料,纺织制造,3,20.04,22.52,2.47,2.62
851316.SI,其他纺织,纺织制造,15,32.61,35.7,2.46,1.34
851325.SI,鞋帽及其他,服装家纺,11,25.29,31.01,3.18,1.73
851326.SI,家纺,服装家纺,6,23.34,21.49,2.45,4.38
851329.SI,非运动服装,服装家纺,38,17.82,17.81,1.38,3.53
851331.SI,钟表珠宝,饰品,13,22.63,25.06,2.54,3.38
851412.SI,大宗用纸,造纸,10,20.27,19.88,1.44,1.98
851413.SI,特种纸,造纸,12,26.11,34.45,1.83,2.08
851422.SI,印刷,包装印刷,4,48.59,45.03,4.84,0.95
851423.SI,金属包装,包装印刷,7,37.03,33.04,2.7,0.93
851424.SI,塑料包装,包装印刷,6,16.85,13.0,2.26,3.54
851425.SI,纸包装,包装印刷,19,33.31,32.56,2.7,1.85
851436.SI,瓷砖地板,家居用品,13,27.88,29.64,1.84,1.55
851437.SI,成品家居,家居用品,16,22.29,20.29,2.58,2.46
851438.SI,定制家居,家居用品,13,16.6,18.61,2.1,3.82
851439.SI,卫浴制品,家居用品,7,30.46,40.01,2.36,1.63
851491.SI,其他家居用品,家居用品,23,23.87,25.38,4.49,2.45
851452.SI,娱乐用品,文娱用品,17,42.89,42.82,2.91,0.79
851511.SI,原料药,化学制药,42,30.48,33.31,2.63,1.29
851512.SI,化学制剂,化学制药,108,32.95,32.92,3.08,1.2
851521.SI,中药Ⅲ,中药Ⅱ,67,22.4,21.88,2.41,2.78
851522.SI,血液制品,生物制品,7,20.61,24.87,1.71,1.1
851523.SI,疫苗,生物制品,13,45.67,46.68,1.61,1.93
851524.SI,其他生物制品,生物制品,31,31.34,34.46,3.25,1.7
851542.SI,医药流通,医药商业,24,15.88,14.92,1.13,1.93
851543.SI,线下药店,医药商业,8,25.03,23.9,2.34,2.61
851532.SI,医疗设备,医疗器械,38,31.53,36.96,4.35,1.41
851533.SI,医疗耗材,医疗器械,51,36.27,35.97,3.04,1.28
851534.SI,体外诊断,医疗器械,39,23.03,27.01,2.1,2.2
851563.SI,医疗研发外包,医疗服务,29,41.71,29.47,3.52,1.21
851564.SI,医院,医疗服务,15,40.69,44.01,4.47,1.07
851611.SI,火力发电,电力,28,12.53,10.97,1.3,3.65
851612.SI,水力发电,电力,11,19.63,18.58,2.48,3.13
851614.SI,热力服务,电力,18,33.92,33.94,2.23,1.78
851616.SI,光伏发电,电力,13,24.45,30.2,1.17,2.02
851617.SI,风力发电,电力,14,22.85,25.46,1.7,2.03
851610.SI,电能综合服务,电力,15,20.75,21.42,1.33,1.53
851631.SI,燃气Ⅲ,燃气Ⅱ,29,17.7,18.22,2.09,3.52
851782.SI,原材料供应链服务,物流,13,13.11,12.95,0.79,4.59
851783.SI,中间产品及消费品供应链服务,物流,7,24.62,27.92,2.02,1.46
851784.SI,快递,物流,5,17.72,18.48,1.87,2.06
851785.SI,跨境物流,物流,11,17.28,17.16,1.82,2.43
851786.SI,仓储物流,物流,6,26.34,28.02,1.4,1.04
851787.SI,公路货运,物流,5,96.5,36.09,1.08,2.55
851731.SI,高速公路,铁路公路,20,13.94,13.61,1.19,3.82
851721.SI,公交,铁路公路,6,52.94,71.03,1.72,0.71
851771.SI,铁路运输,铁路公路,7,16.69,17.97,0.94,3.24
851741.SI,航空运输,航空机场,8,32.58,33.35,3.31,1.47
851761.SI,航运,航运港口,18,8.82,10.55,1.42,5.8
851711.SI,港口,航运港口,16,12.78,13.15,1.0,2.9
851811.SI,住宅开发,房地产开发,69,25.5,32.62,0.85,1.32
851812.SI,商业地产,房地产开发,10,26.78,29.33,1.04,2.23
851813.SI,产业地产,房地产开发,10,29.02,26.35,1.71,1.32
851831.SI,物业管理,房地产服务,7,25.23,21.6,1.89,1.73
852021.SI,贸易Ⅲ,贸易Ⅱ,13,29.69,25.19,1.91,1.7
852031.SI,百货,一般零售,22,65.07,77.35,1.82,0.85
852032.SI,超市,一般零售,7,48.86,48.43,3.44,1.08
852033.SI,多业态零售,一般零售,15,18.56,32.24,1.27,2.41
852034.SI,商业物业经营,一般零售,14,35.45,31.78,2.47,2.05
852041.SI,专业连锁Ⅲ,专业连锁Ⅱ,7,40.51,45.22,3.29,1.45
852062.SI,跨境电商,互联网电商,7,44.34,44.22,3.98,1.66
852063.SI,电商服务,互联网电商,8,108.36,91.16,5.2,0.86
852182.SI,检测服务,专业服务,20,43.24,40.19,3.57,1.15
852183.SI,会展服务,专业服务,3,37.12,42.93,2.38,1.83
852121.SI,酒店,酒店餐饮,5,34.03,42.03,1.98,1.45
852111.SI,人工景区,旅游及景区,5,25.86,35.6,2.13,1.84
852112.SI,自然景区,旅游及景区,13,40.19,39.95,3.07,1.41
852131.SI,旅游综合,旅游及景区,6,41.78,61.95,4.03,0.76
859852.SI,培训教育,教育,11,48.94,52.43,7.4,2.04
857821.SI,国有大型银行Ⅲ,国有大型银行Ⅱ,6,7.29,7.22,0.7,5.95
857831.SI,股份制银行Ⅲ,股份制银行Ⅱ,9,5.86,5.83,0.55,5.03
857841.SI,城商行Ⅲ,城商行Ⅱ,17,6.32,5.94,0.68,4.55
857851.SI,农商行Ⅲ,农商行Ⅱ,10,6.33,6.14,0.61,4.89
851931.SI,证券Ⅲ,证券Ⅱ,50,24.18,16.79,1.45,1.49
851941.SI,保险Ⅲ,保险Ⅱ,5,10.51,8.03,1.6,2.63
851922.SI,金融控股,多元金融,9,25.17,23.62,1.11,1.42
851927.SI,资产管理,多元金融,4,57.24,45.81,2.85,0.37
852311.SI,综合Ⅲ,综合Ⅱ,15,87.2,57.55,2.85,0.58
857111.SI,水泥制造,水泥,14,19.39,15.68,0.87,3.36
857112.SI,水泥制品,水泥,7,88.24,41.53,1.75,1.51
857121.SI,玻璃制造,玻璃玻纤,7,59.56,40.01,1.57,0.72
857122.SI,玻纤制造,玻璃玻纤,8,61.32,39.11,3.8,1.2
850615.SI,耐火材料,装修建材,6,28.59,39.14,2.15,1.88
850616.SI,管材,装修建材,7,21.27,25.14,2.2,3.32
850614.SI,其他建材,装修建材,17,20.6,24.39,1.93,1.94
850623.SI,房屋建设Ⅲ,房屋建设Ⅱ,8,5.57,5.97,0.51,4.25
857221.SI,装修装饰Ⅲ,装修装饰Ⅱ,23,23.65,24.06,1.27,2.85
857236.SI,基建市政工程,基础建设,24,7.1,7.7,0.61,3.22
857251.SI,园林工程,基础建设,21,262.33,158.62,5.0,0.2
857241.SI,钢结构,专业工程,9,35.05,36.23,1.67,1.15
857242.SI,化学工程,专业工程,7,11.69,11.1,1.05,2.04
857243.SI,国际工程,专业工程,4,12.22,13.23,1.2,3.02
857244.SI,其他专业工程,专业工程,19,24.65,37.51,1.65,1.13
857261.SI,工程咨询服务Ⅲ,工程咨询服务Ⅱ,41,27.24,30.23,2.16,1.35
850741.SI,电机Ⅲ,电机Ⅱ,25,65.34,57.54,4.27,0.7
857334.SI,火电设备,其他电源设备Ⅱ,3,30.58,38.5,2.56,0.75
857336.SI,其他电源设备Ⅲ,其他电源设备Ⅱ,24,69.59,62.45,4.03,0.53
857352.SI,光伏电池组件,光伏设备,21,23.42,27.0,2.71,1.71
857354.SI,光伏辅材,光伏设备,17,39.71,76.5,2.76,0.99
857355.SI,光伏加工设备,光伏设备,10,35.38,46.16,5.58,0.68
857362.SI,风电零部件,风电设备,24,61.95,36.4,2.65,0.51
857371.SI,锂电池,电池,26,33.87,26.9,4.37,1.65
857372.SI,电池化学品,电池,42,59.02,52.42,3.01,0.66
857373.SI,锂电专用设备,电池,17,100.67,82.57,5.57,0.29
857375.SI,蓄电池及其他电池,电池,9,27.75,28.28,2.16,1.19
857381.SI,输变电设备,电网设备,26,50.35,40.02,3.85,0.73
857382.SI,配电设备,电网设备,25,23.73,21.34,2.15,2.43
857321.SI,电网自动化设备,电网设备,25,32.78,30.72,4.09,1.63
857323.SI,电工仪器仪表,电网设备,12,22.31,21.37,2.76,1.87
857344.SI,线缆部件及其他,电网设备,35,47.45,47.27,3.59,0.84
850711.SI,机床工具,通用设备,18,57.63,55.04,3.8,0.91
850713.SI,磨具磨料,通用设备,12,79.25,98.67,3.67,0.74
850715.SI,制冷空调设备,通用设备,17,36.54,41.59,3.31,1.39
850716.SI,其他通用设备,通用设备,46,39.56,37.71,3.67,0.91
850731.SI,仪器仪表,通用设备,53,57.26,54.86,4.1,0.79
850751.SI,金属制品,通用设备,71,58.05,55.37,4.06,0.82
850725.SI,能源及重型设备,专用设备,54,29.77,28.04,2.49,1.64
850728.SI,楼宇设备,专用设备,14,25.93,29.35,2.01,2.28
850721.SI,纺织服装设备,专用设备,12,29.89,31.8,3.02,1.38
850726.SI,印刷包装机械,专用设备,10,60.44,42.25,3.18,0.54
850727.SI,其他专用设备,专用设备,79,57.44,50.99,5.32,0.74
850936.SI,轨交设备Ⅲ,轨交设备Ⅱ,31,19.55,17.35,1.39,3.17
850771.SI,工程机械整机,工程机械,19,24.67,20.97,2.2,2.29
850772.SI,工程机械器件,工程机械,9,66.18,58.36,7.66,0.78
850781.SI,机器人,自动化设备,17,87.41,88.3,5.56,0.69
850782.SI,工控设备,自动化设备,27,53.14,48.65,5.06,0.68
850783.SI,激光设备,自动化设备,10,52.88,53.53,4.74,0.39
850784.SI,其他自动化设备,自动化设备,24,75.48,65.3,4.63,0.53
857411.SI,航天装备Ⅲ,航天装备Ⅱ,8,319.48,572.7,8.55,0.1
857421.SI,航空装备Ⅲ,航空装备Ⅱ,46,73.38,84.74,4.18,0.53
857431.SI,地面兵装Ⅲ,地面兵装Ⅱ,12,100.9,75.71,3.7,0.43
850935.SI,航海装备Ⅲ,航海装备Ⅱ,10,80.22,41.87,2.13,0.43
857451.SI,军工电子Ⅲ,军工电子Ⅱ,64,101.21,89.75,6.03,0.67
850702.SI,安防设备,计算机设备,24,26.96,22.5,3.15,3.11
850703.SI,其他计算机设备,计算机设备,60,53.97,48.84,4.23,0.77
852226.SI,IT服务Ⅲ,IT服务Ⅱ,119,78.23,77.8,4.72,0.63
851041.SI,垂直应用软件,软件开发,97,85.11,78.44,6.78,0.62
851042.SI,横向通用软件,软件开发,35,127.2,100.27,6.6,0.47
857641.SI,游戏Ⅲ,游戏Ⅱ,26,40.9,29.99,4.39,1.6
857651.SI,营销代理,广告营销,24,109.98,114.0,4.46,0.4
857661.SI,影视动漫制作,影视院线,15,124.29,40.82,3.82,0.53
857674.SI,门户网站,数字媒体,8,102.63,97.85,5.93,0.6
857691.SI,教育出版,出版,10,15.91,13.33,1.37,4.37
857692.SI,大众出版,出版,19,26.34,25.16,1.55,2.0
859951.SI,电视广播Ⅲ,电视广播Ⅱ,14,42.61,41.43,1.45,1.67
852213.SI,通信工程及服务,通信服务,19,150.37,230.68,3.91,0.21
852214.SI,通信应用增值服务,通信服务,17,86.61,42.63,5.73,0.47
851024.SI,通信网络设备及器件,通信设备,35,86.18,64.14,10.0,0.35
851025.SI,通信线缆及配套,通信设备,11,55.52,53.49,4.02,0.56
851026.SI,通信终端及配件,通信设备,28,44.86,44.02,5.42,1.45
851027.SI,其他通信设备,通信设备,11,107.8,82.71,5.07,0.46
859511.SI,动力煤,煤炭开采,18,12.1,14.5,1.88,6.1
859512.SI,焦煤,煤炭开采,12,13.23,32.34,0.9,4.43
859521.SI,焦炭Ⅲ,焦炭Ⅱ,7,0.0,0.0,0.0,0.43
859621.SI,油田服务,油服工程,7,23.34,21.49,2.14,2.03
859622.SI,油气及炼化工程,油服工程,6,20.84,23.29,1.05,2.24
859631.SI,炼油化工,炼化及贸易,10,13.7,15.09,1.21,3.84
859632.SI,油品石化贸易,炼化及贸易,6,18.92,25.3,1.88,6.59
859633.SI,其他石化,炼化及贸易,14,44.53,34.91,1.41,0.56
859711.SI,大气治理,环境治理,6,373.57,480.15,2.13,0.72
859712.SI,水务及水治理,环境治理,51,18.78,20.75,1.34,2.15
859713.SI,固废治理,环境治理,34,22.42,20.91,1.83,1.81
859714.SI,综合环境治理,环境治理,15,31.95,37.96,2.17,1.59
859721.SI,环保设备Ⅲ,环保设备Ⅱ,27,35.83,35.42,2.02,1.56
859811.SI,生活用纸,个护用品,8,37.4,31.52,2.31,1.57
859821.SI,化妆品制造及其他,化妆品,6,27.81,57.39,3.02,1.12
859822.SI,品牌化妆品,化妆品,8,27.54,30.08,3.55,1.96
