,0
0,第0条：热门中概股盘前多数走高，金山云涨超7%，哔哩哔哩涨近4%，百度、小马智行涨超2%，阿里巴巴涨超1%。
1,第1条：美股存储板块盘前走强。美光科技涨4%，闪迪涨超3%，西部数据涨近3%，希捷科技涨超2%。
2,第2条：【南向资金净卖逾6亿港元，逾10亿抢筹腾讯控股】南向十大成交股中，腾讯控股、中国人寿、长飞光纤光缆分别获净买入10.24亿港元、5.11亿港元、3.55亿港元。中国移动、紫金矿业、中芯国际分别遭净卖出11.47亿港元、8.43亿港元、5.53亿港元。
3,第3条：【央行：建立打击治理洗钱违法犯罪常态化工作机制 进一步提升反洗钱监测分析能力】中国人民银行2026年1月22日召开2026年反洗钱工作会议。会议要求，2026年要充分认识反洗钱工作面临的新形势新要求，认真做好当前和今后一段时期反洗钱重点工作。
4,第4条：【强瑞技术：2025年净利同比预增38.39%—64.02%】强瑞技术(301128)1月27日发布业绩预告，预计2025年归母净利1.35亿元—1.6亿元，同比增长38.39%—64.02%。
5,第5条：【索菱股份：高新投集团拟减持公司不超3%股份】索菱股份(002766)1月27日公告，公司持股8.86%的股东高新投集团计划通过大宗交易和集中竞价相结合的交易方式，减持公司股份不超过2591.68万股(占公司总股本的3%)。
6,第6条：【海鸥股份：截至目前公司暂无CDU产品营业收入】海鸥股份1月27日在互动平台表示，公司子公司TCT为曙光数创的授权经销商，根据约定双方开展数据中心基础设施液冷设备（含设备安装调试服务）的销售授权产品合作，公司不生产CDU产品，截至目前公司暂无CDU产品营业收入。
7,"第7条：【拓尔思：预计2025年净利润亏损2.50亿元-3.10亿元】拓尔思(300229.SZ)公告称，拓尔思预计2025年归属于上市公司股东的净利润亏损2.50亿元-3.10亿元，上年同期为-9,414.56万元。"
8,第8条：【永鼎股份：2025年净利同比预增226%-388%】1月27日，永鼎股份(600105.SH)公告称，预计2025年度归属于上市公司股东的净利润为2亿元-3亿元，同比增加225.66%-388.48%。
9,"第9条：【金龙汽车：预计2025年归母净利润约4.63亿元 同比增长193.68%】金龙汽车1月27日公告，公司预计2025年年度归属于上市公司股东的净利润约46,326万元（未经审计），与上年同期相比，将同比增长193.68%。"
10,第10条：【宝胜股份：2025年预亏3000万元—4500万元】宝胜股份(600973)1月27日披露业绩预告，预计2025年度实现归属于上市公司股东的净利润为-3000万元至-4500万元，同比减少亏损2.55亿元到2.7亿元。
11,第11条：【楚江新材：2025年净利同比预增60.97%—95.78%】楚江新材(002171)1月27日发布业绩预告，预计2025年归母净利润为3.7亿元—4.5亿元，同比增长60.97%—95.78%。
12,第12条：【招商证券业绩快报：2025年净利润123亿元 同比增长18.43%】招商证券(600999)1月27日发布2025年度业绩快报，2025年营业总收入为249亿元，同比增长19.19%；归属于母公司股东的净利润123亿元，同比增长18.43%；基本每股收益1.35元。
13,第13条：【三部门：政府举办或参与举办的经营性公墓收取的墓位使用费实行政府指导价管理】国家发展改革委、民政部、财政部发布关于进一步完善殡葬服务收费政策的通知。各类殡葬服务机构收取的生态安葬费，城镇公益性公墓（骨灰堂）、政府举办或参与举办的经营性公墓（骨灰堂）收取的墓位使用费、格位使用费、维护管理费，收费标准由省级发展改革部门会同同级财政、民政部门制定，或者经省级人民政府授权由地级及以上人民政府制定，具体实行政府指导价管理。
14,第14条：【央行：去年四季度末人民币普惠小微贷款余额36.57万亿元 同比增长11.1%】中国人民银行统计，2025年四季度末，人民币普惠小微贷款余额36.57万亿元，同比增长11.1%，增速比各项贷款高4.7个百分点，全年增加3.63万亿元。
15,第15条：【吉林力推具身智能产业化落地】吉林省第十四届人民代表大会第五次会议27日在长春开幕。在吉林省政府工作报告中，“具身智能”被列为今年重点推进的产业方向，释放出老工业基地加快布局人工智能新赛道、推动制造业转型升级的政策信号。
16,第16条：【机构：预估2030年全球REEV年销量将达300万台 较2025年实现翻倍成长】TrendForce集邦咨询预估，在政策弹性、技术成熟度、市场接受度的支撑下，2030年全球REEV年销量将可达300万台，较2025年实现翻倍成长。
17,第17条：【臻镭科技预计2025年归母净利润增529.64%至642.26%】1月27日，臻镭科技（688270）发布公告，预计2025年年度实现归母净利润为1.23亿元到1.45亿元，同比增加529.64%到642.26%。
18,第18条：黄金主题LOF1月27日公告，1月28日起暂停A类人民币份额申购及定期定额投资业务。
19,第19条：【央行：2025年四季度末本外币高新技术企业贷款余额18.61万亿元 同比增长7.5%】中国人民银行统计，2025年四季度末，获得贷款支持的高新技术企业26.54万家，获贷率为57.3%，比上年末高0.4个百分点。本外币高新技术企业贷款余额18.61万亿元，同比增长7.5%，增速比各项贷款高1.3个百分点。
20,第20条：【央行：2025年四季度末本外币工业中长期贷款余额26.63万亿元 同比增长8.4%】中国人民银行统计，2025年四季度末，本外币工业中长期贷款余额26.63万亿元，同比增长8.4%，增速比各项贷款高2.2个百分点，全年增加2.11万亿元。
21,第21条：【央行：2025年四季度末本外币住户贷款余额83.28万亿元 同比增长0.5%】中国人民银行统计，2025年四季度末，本外币住户贷款余额83.28万亿元，同比增长0.5%，全年增加4412亿元。其中，经营性贷款余额25.11万亿元，同比增长4.0%，全年增加9378亿元。
22,第22条：【宁波富邦：2025年净利同比预增3099.59%至4379.43%】宁波富邦(600768)1月27日发布业绩预告，预计2025年度净利润为5000万元到7000万元，同比增长3099.59%到4379.43%。
23,第23条：【弘信电子：2025年净利同比预增93.61%—164.01%】弘信电子(300657)1月27日发布业绩预告，预计2025年归母净利1.1亿元—1.5亿元，同比增长93.61%—164.01%。
24,第24条：【央行：2025年四季度末人民币房地产贷款余额51.95万亿元 同比下降1.6%】中国人民银行统计，2025年四季度末，人民币房地产贷款余额51.95万亿元，同比下降1.6%，全年减少9636亿元。2025年四季度末，房地产开发贷款余额13.16万亿元，同比下降3.0%，全年减少3575亿元。
25,第25条：【央行：2025年四季度末个人住房贷款余额37.01万亿元 同比下降1.8%】中国人民银行统计，2025年四季度末，人民币房地产贷款余额51.95万亿元，同比下降1.6%，全年减少9636亿元。2025年四季度末，房地产开发贷款余额13.16万亿元，同比下降3.0%，全年减少3575亿元。个人住房贷款余额37.01万亿元，同比下降1.8%，全年减少6768亿元。
26,第26条：【二手房挂牌量出现新趋势 北京上海变化显著】随着核心城市二手房市场成交持续回暖，部分城市二手房挂牌量正在悄然下降。以上海为例，随着新增挂牌量放缓、成交速度加快，上海的二手房总体挂牌量已基本回归至去年2月份水平，前期堆积的库存正在逐步消化。上海链家称，该平台二手房库存挂牌量已连续9个月下降。
27,第27条：【央行：2025年四季度末固定资产贷款余额77.52万亿元 同比增长6.9%】中国人民银行统计，2025年四季度末，金融机构人民币各项贷款余额271.91万亿元，同比增长6.4%，全年人民币贷款增加16.27万亿元。2025年四季度末，本外币企事业单位贷款余额186.21万亿元，同比增长8.9%，增速比上季度末高0.7个百分点，全年增加15.24万亿元。分用途看，固定资产贷款余额77.52万亿元，同比增长6.9%，全年增加5.03万亿元。
28,第28条：【国投白银LOF：将于1月28日开市起至当日10:30停牌】国投白银LOF公告，本基金将于2026年1月28日开市起至当日10:30停牌，自2026年1月28日10:30复牌。若本基金2026年1月28日二级市场交易价格溢价幅度未有效回落，本基金有权通过向深圳证券交易所申请盘中临时停牌、延长停牌时间等措施，向市场警示风险，具体以届时公告为准。
29,"第29条：【美国企业对特定陀螺稳定电动独轮车及其组件和下游产品提起337调查申请】据商务部官网，2026年1月21日，美国Inventist, Inc.、美国Alien Technology Group, Inc. d/b/a Alien Rides根据《美国1930年关税法》第337节规定向美国际贸易委员会提出申请，主张对美出口、在美进口及销售的特定陀螺稳定电动独轮车及其组件和下游产品侵犯其专利权，请求发起337调查，并发布普遍排除令、有限排除令和禁止令。中国五家企业涉案。"
30,第30条：【国盾量子：预计2025年归母净利润500万元左右 同比扭亏为盈】国盾量子1月27日公告，预计2025年实现营业收入3.1亿元左右。预计2025年归母净利润500万元左右，上年同期亏损3184.14万元。
31,第31条：【李强签署国务院令 公布修订后的《中华人民共和国药品管理法实施条例》】国务院总理李强日前签署国务院令，公布修订后的《中华人民共和国药品管理法实施条例》（以下简称《条例》），自2026年5月15日起施行。
32,第32条：【南都物业：2025年净利同比预增311%—425%】南都物业(603506)1月27日公告，预计2025年实现净利润9000万元到1.15亿元，同比增加310.86%到424.99%。
33,第33条：【海新能科预计2025年净利亏损4.5亿—6.4亿元】1月27日晚间，海新能科（300072）发布2025年度业绩预告显示，公司预计全年实现归属净利润约为-6.4亿元至-4.5亿元，上年同期为-9.54亿元。
34,第34条：【重庆港：预计2025年归母净利润同比减少89.58%-93.05%】重庆港1月27日公告，预计2025年归母净利润3676.47万元-5513.71万元，同比减少89.58%-93.05%。
35,第35条：【金马游乐：预计2025年度归母净利润同比增长811.17%-1069.56%】金马游乐1月27日公告，预计2025年度归母净利润6700万元-8600万元，同比增长811.17%-1069.56%。
36,第36条：【东方证券：2025年净利同比预增67.8%】东方证券(600958)1月27日公告，预计2025年度实现归属于母公司所有者的净利润56.2亿元，与上年同期相比，同比增加67.8%。
37,第37条：【恒瑞医药：子公司HRS-5346片被纳入突破性治疗品种名单】1月27日，恒瑞医药(600276.SH)公告称，公司子公司山东盛迪医药的HRS-5346片被国家药品监督管理局药品审评中心纳入突破性治疗品种名单。
38,第38条：【绿联科技今日大宗交易折价成交240.47万股 成交额1.44亿元】1月27日，绿联科技大宗交易成交240.47万股，成交额1.44亿元，占当日总成交额的21.21%，成交价60元，较市场收盘价70元折价14.29%。
39,第39条：【铜冠铜箔：预计2025年归母净利润5500万元-7500万元 同比扭亏为盈】铜冠铜箔1月27日公告，预计2025年度归母净利润5500万元-7500万元，上年同期亏损1.56亿元。
40,第40条：【国家疾控局：我国尚未发现尼帕病毒病例】国家疾控局介绍，本次印度暴发的尼帕病毒病疫情，主要发生在西孟加拉邦，与我国没有领土接壤。尼帕病毒病主要通过直接接触感染的动物、病人及污染物传播，病毒环境存活力弱，一般民众接触感染机会较少。综合研判，此次印度尼帕病毒病疫情对我国产生的影响相对较小。目前，我国尚未发现尼帕病毒病病例。但也存在一定境外输入风险，需加强防范。
41,第41条：【“私募魔女”李蓓再次高喊地产“十年一遇大拐点” 业内怎么看？】近日，被称为“私募魔女”的半夏投资创始人李蓓，在接受媒体采访时表示，基于供给侧大出清、总量周期性回升等因素，半年内地产或出现“十年一遇的机会”。
42,"第42条：【曹操出行：现金对价6500万元收购吉利商务全部股权】曹操出行1月27日在港交所公告，于2025年12月30日（交易时段后），本公司的间接全资附属公司苏州优行与吉利控股及吉利商务订立股权收购协议。根据该协议，苏州优行同意收购，且吉利控股同意出售吉利商务的全部股权，现金对价为人民币65,000,000元。"
43,第43条：【百奥泰：2025年预亏2.8亿元—3.9亿元】百奥泰(688177)1月27日公告，预计2025年度实现归属于母公司所有者的净利润为-2.8亿元到-3.9亿元，同比减少亏损1.2亿元到2.3亿元。
44,第44条：【东田微：2025年净利润同比预增71.98%~97.06%】东田微(301183)1月27日公告，预计2025年净利润9600万元~1.1亿元，同比增长71.98%~97.06%。
45,第45条：【柳工：2025年净利润同比预增15%~25%】柳工(000528)1月27日发布业绩预告，预计2025年净利润15.26亿元~16.59亿元，同比增长15%~25%。报告期内，国内工程机械尤其是土方机械需求受行业周期性及宏观政策影响，在上年度筑底反弹的基础上稳定增长，国际工程机械市场整体也呈现企稳复苏态势。
46,第46条：【星辰天合递交港股IPO申请】1月27日，据港交所披露，北京星辰天合科技股份有限公司向香港交易所主板递交上市申请书，华泰国际为独家保荐人。
47,第47条：【旅游业对海南GDP综合贡献率超三成】记者从27日开幕的海南省第七届人民代表大会第五次会议上获悉，“十四五”期间，海南旅游业国际影响力大幅提升，对本省GDP综合贡献率达33.4%。
48,第48条：【艾森股份：拟投资20亿元建设集成电路材料华东制造基地项目】艾森股份公告，公司拟在南通市经济技术开发区设立全资子公司，投资建设艾森集成电路材料华东制造基地项目，总投资预计20亿元。项目分两期建设，一期预计2028年投产，二期预计2030年投产，整体项目预计于2035年达产。
49,第49条：【存储超级周期苹果也“低头” 已接受巨头一倍涨价 iPhone18价格压不住了？】存储涨价潮下，供应商话语权渐增，连苹果也扛不住了。据韩媒ZDNet今日消息，三星电子与SK海力士已完成和苹果的谈判，将大幅上调今年第一季度供应的苹果iPhone低功耗DRAM（LPDDR）价格。其中，三星报价较前一季度涨幅超过80%，SK海力士给出的涨幅接近100%。
50,第50条：【0.13倍PB的无奈：九江银行获两大股东“输血”】1月23日，九江银行（06190）披露新一轮内资股非公开发行进展，两大核心股东九江市财政局、兴业银行拟“顶格”参与认购。目前，该行的市净率（PB）已跌至罕见的0.13倍，而52周跌幅更是高达73.78%。
51,第51条：【旭光电子：2025年净利同比预增51.25%—65.89%】旭光电子(600353)1月27日披露2025年度业绩预告，预计2025年实现归属于母公司所有者的净利润1.55亿元到1.7亿元，同比增加51.25%到65.89%。
52,第52条：【中国通号400MHz数字无线列调系统开通运营】据中国通号消息，近日，一列悬挂“娄益线电气化开通首趟值乘出征仪式”横幅的列车从娄底东站驶出，标志着中国通号自主研制的400MHz数字无线列调系统（DRTD），在中国铁路广州局集团公司益湛铁路益阳至娄底段正式投入运营。
53,第53条：【行业人士：预测存储短缺或至少持续两到三年】全球EDA和半导体IP领域的龙头企业新思科技（Synopsys）首席执行官在接受采访时表示，芯片“短缺”现象将在2026年和2027年持续下去。
54,第54条：【马斯克力推太空光伏 为何看上的是异质结技术？】相较于刚起步应用的异质结电池，以及尚处于研发和验证早期的钙钛矿电池，砷化镓在当前阶段能够提供更为稳定和优越的性能保障。但两位券商研究人员近日对界面新闻表示，马斯克更看好异质结技术。
55,第55条：【中通客车：预计2025年归母净利润同比增长28.28%-64.36%】中通客车1月27日公告，预计2025年实现归母净利润3.2亿元-4.1亿元，同比增长28.28%-64.36%。
56,第56条：【南京“房票超市”推新概念 “全城通兑”和“电子房票”来了】1月26日，南京印发了《关于加快培育新质生产力推动高质量发展的若干政策（2026年版）》。关于房地产市场，该政策明确推动既有库存商品房全部纳入房票超市，推行“全城通兑”和“电子房票”，满足被征收群众安置需求。
57,第57条：【在岸人民币兑美元16:30收盘 较上一交易日跌4点】在岸人民币兑美元北京时间16:30官方收报6.9576，较上一交易日官方收盘价跌4点。
58,第58条：【香港：12月出口同比增长26.1% 高于市场预期】香港12月进口同比增长30.6%，预估为增长19.9%；12月出口同比增长26.1%，预估为增长16.8%。香港12月贸易逆差633亿港元，预估为逆差498亿港元。
59,第59条：【信安世纪：2025年预盈7400万元—8800万元 同比扭亏为盈】信安世纪(688201)1月27日披露2025年业绩预告，预计2025年度实现归属于母公司所有者的净利润7400万元到8800万元。2024年，归属于母公司所有者的净利润-4781.76万元，此次预计业绩实现扭亏为盈。
60,第60条：【晶品特装：3年内公司被禁止参加武警部队范围物资工程服务采购活动】晶品特装公告，军队采购网于2026年1月26日发布公告，武警部队采购管理部门根据军队供应商管理相关规定禁止公司自2026年1月26日起3年内参加武警部队范围物资工程服务采购活动。
61,第61条：【新锦动力：预计2025年归母净利润4000万元-5000万元 同比扭亏为盈】新锦动力1月27日公告，预计2025年度实现营业收入7亿元-8亿元，上年同期营业收入5.52亿元。预计2025年度归属母公司净利润4000万元-5000万元，上年同期亏损1.66亿元。
62,第62条：【新金路：预计2025年全年净亏损1.80亿元—2.28亿元】新金路发布年度业绩预告，预计2025年全年归属于上市公司股东的净利润为亏损1.80亿元至2.28亿元；预计2025年全年归属于上市公司股东的扣除非经常性损益的净利润为亏损1.78亿元至2.30亿元。
63,第63条：【恩威医药：初步确定询价转让价格为26.54元/股】恩威医药公告，根据2026年1月27日询价申购情况，初步确定本次询价转让价格为26.54元/股。
64,第64条：【海翔药业：地夸磷索钠原料药上市申请获批】海翔药业公告，公司收到国家药品监督管理局核准签发的地夸磷索钠《化学原料药上市申请批准通知书》。该原料药为公司生产，适应证为干眼症治疗（作为P2Y2受体激动剂，用于其滴眼液制剂）。
65,"第65条：【智明达：2025年净利润同比预增414%左右】智明达披露业绩预告。经财务部门初步测算，预计2025年实现营业收入为68,000万元左右，同比增长55%左右；预计实现归属于母公司所有者的净利润为10,000万元左右，同比增长414%左右。"
66,第66条：【华盛锂电：拟将回购股份价格上限由32元/股调整为150元/股】华盛锂电公告，为保障回购股份方案顺利实施，公司拟将回购价格上限由32.00元/股（含）调整为150.00元/股（含）。
67,第67条：【1月27日涨停复盘：59只股涨停 白银有色6连板】涨停个股数量方面，今日共计59股涨停，另有24只个股盘中一度触及涨停，封板率71.08%。
68,第68条：【专家：银价短期或跌回90美元之下】中国外汇投资研究院研究总监李钢对表示，对白银而言，在避险逻辑之外，还叠加了新能源、工业需求预期改善的放大效应，因此涨幅和波动明显强于黄金。在李钢看来，不排除银价短期跌回100美元/盎司乃至90美元/盎司之下可能。
69,第69条：【中国中铁：公司承建了海南商业航天发射场2号发射工位等项目】中国中铁1月27日在互动平台表示，公司承建了海南商业航天发射场2号发射工位等项目。
70,第70条：【力鼎光电：2025年净利同比预增42.59%—65.4%】力鼎光电(605118)1月27日公告，预计2025年度净利润为2.5亿元到2.9亿元，同比增长42.59%到65.4%。
71,第71条：【南亚新材：预计2025年归母净利润同比增长337.20%-416.69%】南亚新材1月27日公告，预计2025年归母净利润2.2亿元-2.6亿元，同比增长337.20%-416.69%。
72,第72条：【康希诺：预计2025年归母净利润2450万元-2900万元 同比扭亏为盈】康希诺1月27日公告，预计2025年实现营业收入10.4亿元-10.8亿元，同比增长22.88%-27.61%；归属母公司净利润2450万元-2900万元，上年同期亏损3.79亿元。
73,第73条：【岳阳林纸：2025年预亏2亿元到2.6亿元 同比由盈转亏】岳阳林纸(600963)1月27日公告，预计2025年度公司净利润亏损2亿元到2.6亿元，上年同期净利润1.67亿元，同比由盈转亏。
74,第74条：【神农集团：2025年净利同比预降44.09%至54.43% 生猪销售价格下降】神农集团(605296)1月27日公告，预计2025年实现归属于母公司所有者的净利润为3.13亿元至3.84亿元，同比减少44.09%到54.43%。
75,第75条：【晋亿实业：预计2025年净利同比增加61%到100%】晋亿实业(601002)1月27日公告，预计2025年度归属于上市公司股东的净利润为2.1亿元到2.6亿元，同比增加61%到100%。
76,第76条：【力源信息：预计2025年归母净利润同比增长62.56%-82.88%】力源信息1月27日公告，预计2025年实现营业收入约88.5亿元，同比增长约13.16%；归母净利润1.6亿元-1.8亿元，同比增长62.56%-82.88%。
77,第77条：【光威复材：2025年净利润同比减少18.86%】光威复材发布2025年度业绩快报，报告期内公司实现营业收入28.59亿元，同比增长16.68%；归属于上市公司股东的净利润6.01亿元，同比减少18.86%；基本每股收益0.72元，同比减少19.40%。
78,第78条：【1月27日港股收盘：恒指涨1.35% 中国人寿领涨成分股】恒生指数收报27126.95点，涨361.43点，涨幅1.35%；恒生科技指数收报5754.72点，涨28.73点，涨幅0.5%。恒生指数成分股中中国人寿、友邦保险、石药集团涨幅居前，恒隆地产、翰森制药、中升控股跌幅靠前。
79,第79条：【飞南资源：2025年净利同比预增102.51%~157.03%】1月27日，飞南资源(301500.SZ)公告称，飞南资源发布2025年度业绩预告，预计归属于上市公司股东的净利润为2.60亿元至3.30亿元，比上年同期增长102.51%至157.03%。
80,第80条：【飞沃科技收购光合空间60%股权 后者含火箭发动机业务】企查查APP显示，近日，四川光合空间科技有限公司发生工商变更，新增飞沃科技为大股东，持股60%。
81,第81条：【华钰矿业：2025年净利同比预增215.8%到255.28%】华钰矿业(601020)1月27日公告，预计2025年度实现归属于上市公司股东的净利润为8亿元到9亿元，同比增加215.8%到255.28%。
82,第82条：【沐曦股份发布曦索X系列科学智能GPU】1月27日，在2026“智算申城”高峰论坛上，沐曦股份发布曦索X系列科学智能GPU。该公司联合创始人、CTO兼首席硬件架构师彭莉说，这将赋能AI4S（AI for Science）创新生态。
83,第83条：【欧洲主要股指开盘集体上涨】欧洲主要股指开盘集体上涨。欧洲斯托克50指数涨0.33%，英国富时100指数涨0.38%，法国CAC40指数涨0.18%，德国DAX30指数涨0.26%，富时意大利MIB指数涨0.33%。
84,第84条：【印度航运公司正在规划印度迄今规模最大的造船项目】印度航运公司（SCI）正在规划印度迄今规模最大的造船项目，涉及8艘88000立方米超大型气体运输船（VLGC），总造价约9.5亿美元，以此计算，单船造价约1.19亿美元。
85,"第85条：【怡球资源：2025年净利同比预增620%-970%】怡球资源(601388.SH)公告称，预计2025年年度归属于上市公司股东的净利润为1.34亿元至1.99亿元，与上年同期1,854.95万元相比，同比增长620%至970%。"
86,第86条：西班牙第四季度失业率为9.93%，预期10.2%，前值10.45%。
87,第87条：【厦钨新能：2025年净利润同比增长41.83%】厦钨新能发布2025年度业绩快报，报告期内公司实现营业收入200.34亿元，同比增长47.84%；归属于上市公司股东的净利润7.55亿元，同比增长41.83%；基本每股收益1.50元，同比增长18.11%。
88,第88条：【红塔证券：2025年净利润同比预增59.05%】红塔证券(601236)1月27日公告，经财务部门初步测算，预计2025年度实现归属于母公司所有者的净利润为12.15亿元，同比增长59.05%。
89,第89条：【白云机场：预计2025年归母净利润同比增长38.21%-68.92%】白云机场1月27日公告，预计2025年度归母净利润12.8亿元-15.64亿元，同比增长38.21%-68.92%。
90,第90条：【步长制药：预计2025年归母净利润约3.2亿元到4.68亿元 同比扭亏为盈】步长制药1月27日公告，预计2025年度归母净利润约3.2亿元到4.68亿元，上年同期亏损5.54亿元。
91,第91条：【山西焦化：预计2025年归母净利润同比减少66.31%-71.82%】山西焦化1月27日公告，预计2025年度归母净利润7415.15万元-8865.15万元，同比减少66.31%-71.82%。
92,第92条：【华勤技术：正研发适用于柔性制造的轮式机器人 预计今年6月可实现交付】华勤技术在互动平台表示，公司当前在机器人领域目标成为3C制造领域全栈式机器人解决方案头部供应商。针对工业制造场景的需求，公司正研发适用于柔性制造的轮式机器人，预计今年6月可实现交付。
93,第93条：【博迁新材：2025年净利同比预增128.63%到174.36% 公司高端镍粉出货量增长】博迁新材(605376)1月27日公告，公司预计2025年度实现归属于母公司所有者的净利润为2亿元到2.4亿元，同比增长128.63%到174.36%。
94,第94条：【智动力：2025年预亏1.2亿元—1.5亿元】智动力(300686)1月27日发布业绩预告，预计2025年归母净利亏损1.2亿元—1.5亿元，上年同期亏损1.55亿元。
95,第95条：【北京一门店欠租千万？永辉超市否认：商场方对外存在债务纠纷】近日，知名商超永辉超市（601933.SH）北京一门店暂停营业引发关注，物业方投诉永辉超市欠费超1600万。
96,第96条：【交通运输部：春节假期免收7座及以下小型客车通行费】记者从交通运输部了解到，2026年综合运输春运自2月2日开始至3月13日结束，共40天。近日，交通运输部印发《关于做好2026年道路水路春运服务保障工作的通知》，明确延续春节假期免收7座及以下小型客车通行费政策。
97,第97条：【巨星农牧：预计2025年归母净利润同比下降93.06%-94.99%】巨星农牧1月27日公告，预计2025年度归属母公司净利润2600万元-3600万元，同比减少93.06%-94.99%。
98,第98条：【央行北京分行：2025年末北京地区科技型中小企业、养老产业贷款同比分别增长21.9%、77.7%】记者今日从人民银行北京分行获悉，2025年末，北京地区科技型中小企业、绿色领域、普惠小微、养老产业贷款同比分别增长21.9%、12.2%、11.6%和77.7%。
99,"第99条：【2025年末北京人民币各项贷款余额12.09万亿元 同比增长4.9%】记者今日从人民银行北京分行获悉，初步统计2025年北京社会融资规模增量18,984.3亿元。2025年末人民币各项贷款余额12.09万亿元，同比增长4.9%，全年新增5629.3亿元，对于实体经济的信贷支持保持在较高水平。"
100,第100条：【理想汽车：今年会调整关闭少量低效门店】近期，有媒体报道称，理想汽车计划在2026年上半年关闭约100家低效零售门店。1月27日，理想汽车对此回应中国证券报·中证金牛座记者称，今年会调整关闭少量低效门店，此举是正常的经营调整，不影响公司正常经营，网传“关闭100家门店”为不实信息。
101,第101条：【2025年12月北京新发放一般贷款加权平均利率2.88% 同比下降25个基点】记者今日从人民银行北京分行获悉，2025年12月新发放一般贷款加权平均利率2.88%，同比下降25个基点。企业贷款加权平均利率2.34%，同比下降31个基点。
102,第102条：【苹果Siri“偷听”集体诉讼和解 已有用户收到赔偿】据央视财经报道，去年年初，美国加州法院批准了苹果就Siri“非法且有意录制对话”集体诉讼达成的和解协议，相关赔偿款项正于近期陆续发放。
103,第103条：【上期所：发现3组18名客户在锡、白银期货品种交易中涉嫌未申报实际控制关系 对相关客户采取限制开仓、限制出金监管措施】上期所发布公告，上海期货交易所发现3组18名客户在锡、白银期货品种交易中涉嫌未申报实际控制关系，根据相关规定，决定对上述客户在锡、白银期货品种上采取限制开仓1个月以及限制出金的监管措施。
104,第104条：现货黄金日内涨1.84%，重新站上5100美元/盎司。
105,第105条：现货白银短线拉升，现涨近9%，报112.98美元/盎司。
106,第106条：【天溯计量：公司暂未和蓝箭航天有订单合作业务】天溯计量（301449.SZ）1月27日在投资者互动平台表示，经核实，公司暂未和蓝箭航天有订单合作业务。
107,第107条：【摩根士丹利：看涨情景下 下半年黄金目标价为5700美元/盎司】摩根士丹利发布报告称，黄金价格已突破该行此前对下半年4750美元/盎司的预测，但其认为金价尚未见顶，地缘政治风险、央行策略转变以及ETF买盘共同对金价构成支撑。摩根士丹利称，看涨情景下，下半年黄金目标价为5700美元/盎司。
108,第108条：【中金黄金：2025年净利同比预增41.76%-59.48%】中金黄金(600489.SH)公告称，预计2025年年度实现归属于母公司所有者的净利润48亿元到54亿元，与上年同期相比，同比增加41.76%-59.48%。
